TechCode,CropCode,Variable,Filename,Crop,Tech,Archive
A,WHEA,VOP,spam2017V2r1_SSA_V_WHEA_A.tif,wheat,all technologies,spam2017v2r1_ssa_val_prod.geotiff
A,YAMS,VOP,spam2017V2r1_SSA_V_YAMS_A.tif,yams,all technologies,spam2017v2r1_ssa_val_prod.geotiff
H,ACOF,VOP,spam2017V2r1_SSA_V_ACOF_H.tif,arabica coffee,rainfed high inputs,spam2017v2r1_ssa_val_prod.geotiff
H,BANA,VOP,spam2017V2r1_SSA_V_BANA_H.tif,banana,rainfed high inputs,spam2017v2r1_ssa_val_prod.geotiff
H,BARL,VOP,spam2017V2r1_SSA_V_BARL_H.tif,barley,rainfed high inputs,spam2017v2r1_ssa_val_prod.geotiff
H,BEAN,VOP,spam2017V2r1_SSA_V_BEAN_H.tif,bean,rainfed high inputs,spam2017v2r1_ssa_val_prod.geotiff
H,CASS,VOP,spam2017V2r1_SSA_V_CASS_H.tif,cassava,rainfed high inputs,spam2017v2r1_ssa_val_prod.geotiff
H,CHIC,VOP,spam2017V2r1_SSA_V_CHIC_H.tif,chickpea,rainfed high inputs,spam2017v2r1_ssa_val_prod.geotiff
H,CNUT,VOP,spam2017V2r1_SSA_V_CNUT_H.tif,coconut,rainfed high inputs,spam2017v2r1_ssa_val_prod.geotiff
H,COCO,VOP,spam2017V2r1_SSA_V_COCO_H.tif,cocoa,rainfed high inputs,spam2017v2r1_ssa_val_prod.geotiff
H,COTT,VOP,spam2017V2r1_SSA_V_COTT_H.tif,cotton,rainfed high inputs,spam2017v2r1_ssa_val_prod.geotiff
H,COWP,VOP,spam2017V2r1_SSA_V_COWP_H.tif,cowpea,rainfed high inputs,spam2017v2r1_ssa_val_prod.geotiff
H,GROU,VOP,spam2017V2r1_SSA_V_GROU_H.tif,groundnut,rainfed high inputs,spam2017v2r1_ssa_val_prod.geotiff
H,LENT,VOP,spam2017V2r1_SSA_V_LENT_H.tif,lentil,rainfed high inputs,spam2017v2r1_ssa_val_prod.geotiff
H,MAIZ,VOP,spam2017V2r1_SSA_V_MAIZ_H.tif,maize,rainfed high inputs,spam2017v2r1_ssa_val_prod.geotiff
H,OCER,VOP,spam2017V2r1_SSA_V_OCER_H.tif,other cereals,rainfed high inputs,spam2017v2r1_ssa_val_prod.geotiff
H,OFIB,VOP,spam2017V2r1_SSA_V_OFIB_H.tif,other fibre crops,rainfed high inputs,spam2017v2r1_ssa_val_prod.geotiff
H,OILP,VOP,spam2017V2r1_SSA_V_OILP_H.tif,oilpalm,rainfed high inputs,spam2017v2r1_ssa_val_prod.geotiff
